cis_age_18_64_w_count,cis_age_15_17_w_count,humpo_people_count,cis_age_3_5_w_count,humpo_age_6_14_m_count,cis_age_3_5_m_count,humpo_sex_x_count,humpo_age_3_5_x_count,humpo_age_18_64_x_count,cis_age_18_64_m_count,humpo_visa_150_sum,ruian_kod_kraj,humpo_not_arrived_sum,cis_age_6_14_w_count,cis_age_15_17_m_count,cis_age_0_2_x_count,ruian_nazev,cis_sex_x_count,humpo_age_6_14_w_count,cis_age_3_5_x_count,humpo_age_3_5_w_count,humpo_age_6_14_x_count,humpo_sex_m_count,ruian_nazev_orp,humpo_age_65_w_count,humpo_sex_w_count,cis_age_0_2_m_count,cis_age_null_count,humpo_age_3_5_m_count,humpo_ruk_sum,humpo_age_15_17_x_count,cis_age_0_2_w_count,gis_updated,SHAPE__Length,cis_sex_w_count,cis_age_6_14_x_count,cis_sex_m_count,humpo_age_65_m_count,humpo_age_0_2_x_count,ruian_nazev_kraj,ruian_kod_orp,cis_visa_90_sum,humpo_dnp_sum,humpo_visa_120_sum,humpo_nu_sum,cis_critical_person_count,humpo_age_65_x_count,humpo_visa_90_sum,cis_age_65_x_count,humpo_age_15_17_w_count,SHAPE__Area,cis_age_6_14_m_count,humpo_age_18_64_m_count,cis_age_15_17_x_count,ruian_kod,humpo_age_15_17_m_count,cis_visa_120_sum,cis_people_count,cis_visa_150_sum,humpo_nights_90_sum,cis_age_65_m_count,humpo_age_18_64_w_count,humpo_age_null_count,ruian_poc_ob,humpo_age_0_2_w_count,humpo_age_0_2_m_count,humpo_nights_150_sum,humpo_nights_120_sum,cis_age_65_w_count,humpo_critical_person_count,objectid,cis_age_18_64_x_count,geometry.rings,ruian_kod_obec,ruian_nazev_obec,vek_do3,vek_3_6,vek_6_15,vek_15_18,vek_18_65,vek_65_plus,koncentrace_pct
15,2,0,1,0,1,0,0,0,12,0,141,0,2,3,0,Želechovice nad Dřevnicí,0,0,0,0,0,0,Zlín,0,0,1,0,0,0,0,0,2026-07-21,43063.06292242016,21,0,19,0,0,Zlínský kraj,1465,39,0,0,0,0,0,0,0,0,37515376.48766625,2,0,0,500011,0,39,40,39,0,0,0,0,1817,0,0,0,0,1,0,1,0,,NA,NA,1,2,4,5,27,1,2.3
4,0,0,0,0,0,0,0,0,6,0,124,0,0,0,0,Petrov nad Desnou,0,0,0,0,0,0,Šumperk,0,0,0,0,0,0,0,0,2026-07-21,24934.873785531618,4,0,8,0,0,Olomoucký kraj,2020,12,0,0,0,0,0,0,0,0,29232463.860987224,2,0,0,500020,0,12,12,12,0,0,0,0,1195,0,0,0,0,0,0,2,0,,NA,NA,0,0,2,0,10,0,1.1
2,0,4,0,0,0,0,0,0,0,0,132,0,0,1,0,Libhošť,0,2,0,0,0,0,Nový Jičín,0,4,0,0,0,0,0,0,2026-07-21,23639.897552137412,2,0,1,0,0,Moravskoslezský kraj,1864,3,0,0,4,0,0,0,0,0,19502054.76040664,0,0,0,500046,0,3,3,3,0,0,2,0,1699,0,0,0,0,0,0,3,0,,NA,NA,0,0,0,1,2,0,0.2
10,0,0,1,0,1,0,0,0,7,0,141,0,2,2,0,Krhová,0,0,0,0,0,0,Valašské Meziříčí,0,0,0,0,0,0,0,1,2026-07-21,22866.030625611886,14,0,11,0,0,Zlínský kraj,2046,23,0,0,0,0,0,0,0,0,19074795.42090402,1,0,0,500062,0,23,25,23,0,0,0,0,2020,0,0,0,0,0,0,4,0,,NA,NA,1,2,3,2,17,0,1.3
16,1,2,0,1,2,0,0,0,9,2,141,0,1,0,0,Poličná,0,0,0,0,0,1,Valašské Meziříčí,0,1,0,0,0,0,0,0,2026-07-21,36527.04614779785,18,0,13,0,0,Zlínský kraj,2046,31,0,2,2,0,0,2,0,0,26156537.299433935,2,0,0,500071,0,30,31,28,0,0,1,0,1716,0,0,0,0,0,0,5,0,,NA,NA,0,2,3,1,25,0,1.9
1,0,0,0,0,0,0,0,0,2,0,51,0,0,0,0,Bražec,0,0,0,0,0,0,Karlovy Vary,0,0,0,0,0,0,0,0,2026-07-21,43119.44529151888,1,0,2,0,0,Karlovarský kraj,531,3,0,0,0,0,0,0,0,0,30770671.94830665,0,0,0,500101,0,3,3,3,0,0,0,0,212,0,0,0,0,0,0,6,0,,NA,NA,0,0,0,0,3,0,1.5
0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,Doupovské Hradiště,0,0,0,0,0,0,Ostrov,0,0,0,0,0,0,0,0,2026-07-21,52009.22225238473,0,0,0,0,0,Karlovarský kraj,540,0,0,0,0,0,0,0,0,0,51017681.09919797,0,0,0,500127,0,0,0,0,0,0,0,0,147,0,0,0,0,0,0,7,0,,NA,NA,0,0,0,0,0,0,0
6,0,0,1,0,1,0,0,0,5,0,124,0,0,0,0,Kozlov,0,0,0,0,0,0,Olomouc,0,0,1,0,0,0,0,0,2026-07-21,71431.2285191177,9,0,10,0,0,Olomoucký kraj,1899,19,0,0,0,0,0,0,0,0,108753812.02586105,0,0,0,500135,0,18,19,18,0,3,0,0,220,0,0,0,0,2,0,8,0,,NA,NA,1,2,0,0,11,5,8.7
0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,Luboměř pod Strážnou,0,0,0,0,0,0,Hranice,0,0,0,0,0,0,0,0,2026-07-21,26356.027479479868,0,0,0,0,0,Olomoucký kraj,1970,0,0,0,0,0,0,0,0,0,22863042.21912808,0,0,0,500151,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,9,0,,NA,NA,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,Město Libavá,0,0,0,0,0,0,Šternberk,0,0,0,0,0,0,0,0,2026-07-21,64645.64499032126,0,0,0,0,0,Olomoucký kraj,1911,0,0,0,0,0,0,0,0,0,70141054.89824344,0,0,0,500160,0,0,0,0,0,0,0,0,529,0,0,0,0,0,0,10,0,,NA,NA,0,0,0,0,0,0,0
